Trait,Chicken (farms),Environment (farms),Food Workers,Symptomatic humans,Retail meat (Chicken or pork),Non-food Workers,,Serovars
aadA_sul1_IS1326@IS21@nan_IS1353@IS3@IS150,0,0,0,1,0,0,,1
aadA16_arr-3_dfrA27_mphA_sul1_IS6100@IS6@nan,0,0,8,0,0,0,,2
aadA16_arr-3_dfrA27_sul1_IS6100@IS6@nan,0,0,2,0,0,0,,1
aadA2_dfrA12_mphA_sul1_IS6100@IS6@nan,0,0,1,0,0,0,,1
aadA2_sul1_IS1326@IS21@nan,0,0,0,0,1,0,,1
aadA5_armA_dfrA17_sul1_ISEc28@IS5@IS903,0,0,0,0,1,0,,1
aadA5_dfrA17_mphA_sul1_IS6100@IS6@nan,0,0,2,0,0,0,,1
aadA7_sul1_IS6100@IS6@nan,26,7,36,0,0,5,,4
aadA7_sul1_IS6100@IS6@nan_ISVch4@IS3@IS3,0,0,2,0,0,0,,1
ANT(2'')-Ia_aadA2_sul1_IS4321R@IS110@IS1111,0,0,3,0,0,0,,1
arr-3_catB3_sul1_IS26@IS6@nan,0,0,0,1,0,0,,1
dfrA1_floR_sul1_tet(A)_IS6100@IS6@nan_ISVsa3@ISCR@nan,0,0,2,0,0,0,,1
mphA_IS26@IS6@nan_IS6100@IS6@nan_ISKpn60@IS110@nan,0,0,0,1,0,0,,1
mphA_IS5075@IS110@IS1111_IS6100@IS6@nan,0,0,1,0,0,0,,1
mphA_ISKpn19@ISKra4@ISAzba1,0,0,1,0,0,0,,1
mphA_mphE_msrE_ISSpu10@IS5@IS427,0,0,0,0,0,2,,1
mphA_mphE_msrE_sul1_IS6100@IS6@nan_ISSpu10@IS5@IS427,0,0,1,0,0,0,,1
mphA_sul1_IS6100@IS6@nan,0,0,1,0,0,1,,2
NDM-5_IS5@IS5@IS5,0,0,2,0,0,0,,1
OXA-1_aadA_sul1_IS1326@IS21@nan_IS1353@IS3@IS150,0,0,0,0,1,1,,1
QepA2_aadA2_dfrA12_mphA_sul1_IS6100@IS6@nan,0,0,9,0,2,1,,1
QepA2_QnrS1_aadA2_dfrA12_mphA_sul1_IS6100@IS6@nan_ISKpn19@ISKra4@ISAzba1,0,0,1,0,0,0,,1
QnrA7_aadA16_sul1_IS6100@IS6@nan,0,0,0,0,1,0,,1
QnrB17_aadA16_mphA_sul1_IS6100@IS6@nan,0,0,2,0,0,0,,2
QnrB17_mphA_sul1_IS6100@IS6@nan,0,0,9,0,0,1,,2
QnrB17_sul1_IS6100@IS6@nan,0,0,2,0,0,0,,1
QnrS1_mphA_ISKpn19@ISKra4@ISAzba1,0,0,1,1,0,0,,2
sul1_IS1326@IS21@nan,0,0,1,0,0,0,,1
sul1_IS6100@IS6@nan,0,0,1,0,0,0,,1
