,AMC,SAM,TZP,CFZ,FEP,FOX,CAZ,CRO,CXM,ETP,IPM,MEM,CHL,FOS,AMK,GEN,TOB,CIP,LVX,NIT,MIN,TET,SXT,CTX,CZA,AZM,AMP,MXF,NOR,NAL,STR,AZI,XNL,SUL,DOX,KAN,COL
2015-0107,S,I,S,S,R,S,R,I,S,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,R
2015-0110,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,I,,,,,,,,I
2015-0112,I,R,S,I,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,S,,,,,,,,I
2015-0116,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,R,I,S,S,R,,,S,,I,I,,,,,,,,I
2015-0132,S,I,S,S,S,S,S,S,I,S,S,S,R,S,S,R,R,R,R,S,S,R,R,,,S,,I,R,,,,,,,,I
2015-0135,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0142,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,R,R,R,R,,,S,,S,S,,,,,,,,R
2015-0157,S,I,S,S,S,S,S,S,I,S,S,S,R,S,S,R,R,R,S,S,I,R,R,,,S,,S,I,,,,,,,,I
2015-0159,S,I,S,S,S,S,S,S,I,S,S,S,R,S,S,R,R,R,R,S,R,R,S,,,S,,I,I,,,,,,,,I
2015-0177,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,I,,,,,,,,I
2015-0180,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0185,I,R,I,S,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,R,S,,,S,,S,S,,,,,,,,I
2015-0191,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0201,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0202,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0203,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,R
2015-0204,I,R,I,I,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0206,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,R,S,I,I,R,R,,,S,,S,S,,,,,,,,I
2015-0208,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,R,S,I,I,R,R,,,S,,S,S,,,,,,,,I
2015-0217,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2015-0218,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0220,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,R
2015-0228,I,R,S,I,S,S,S,S,I,S,S,S,R,S,S,S,S,R,R,R,R,R,R,,,S,,I,R,,,,,,,,I
2015-0229,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0231,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0236,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,I,,,,,,,,I
2015-0238,I,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,R,I,R,R,,,S,,S,S,,,,,,,,I
2015-0241,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0245,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0248,I,R,R,R,S,S,S,S,I,S,S,S,R,S,S,R,R,S,R,S,R,R,S,,,S,,I,S,,,,,,,,R
2015-0251,I,R,R,R,S,S,S,S,I,S,S,S,R,S,S,R,R,S,R,S,R,R,S,,,S,,I,S,,,,,,,,R
2015-0252,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0254,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,S,S,S,R,,,S,,S,I,,,,,,,,I
2015-0267-1,S,S,S,R,S,S,S,I,S,S,S,S,I,S,S,S,I,S,R,S,I,I,S,,,S,,R,S,,,,,,,,R
2015-0269,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,S,S,R,R,,,S,,S,I,,,,,,,,I
2015-0273,S,R,S,I,S,S,S,S,R,S,S,S,R,S,S,R,I,R,R,S,R,R,R,,,S,,I,S,,,,,,,,I
2015-0278,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,I,R,R,,,S,,S,I,,,,,,,,I
2015-0279,R,R,R,R,S,S,S,S,I,S,S,S,R,S,S,R,R,S,S,S,R,R,S,,,S,,S,S,,,,,,,,R
2015-0280,I,R,R,R,S,S,S,S,R,S,S,S,R,S,S,R,R,S,S,S,R,S,S,,,S,,S,S,,,,,,,,R
2015-0283,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0295,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2015-0296,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0305-1,S,I,S,S,S,S,S,I,S,R,S,S,I,S,S,I,I,S,R,S,I,I,S,,,S,,S,I,,,,,,,,R
2015-0316,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,R,R,S,,,S,,S,S,,,,,,,,I
2015-0318,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,S,,,S,,S,S,,,,,,,,I
2015-0321,R,R,S,S,S,I,S,R,R,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,I,,S,S,,,,,,,,I
2015-0329,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0331,S,S,S,S,R,S,S,R,R,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2015-0352,I,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0363,I,R,S,S,S,S,S,S,I,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0365,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,R,I,S,S,R,I,R,S,,,S,,S,S,,,,,,,,I
2015-0372-2,S,I,S,R,S,S,S,I,S,R,S,S,I,S,S,I,I,S,R,S,I,I,S,,,S,,R,S,,,,,,,,R
