,AMC,SAM,TZP,CFZ,FEP,FOX,CAZ,CRO,CXM,ETP,IPM,MEM,CHL,FOS,AMK,GEN,TOB,CIP,LVX,NIT,MIN,TET,SXT,CTX,CZA,AZM,AMP,MXF,NOR,NAL,STR,AZI,XNL,SUL,DOX,KAN,COL
2020-0843,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,R,R,S,,,S,,S,S,,,,,,,,I
2020-0845,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,R,R,R,R,S,S,R,R,,,R,,R,R,,,,,,,,I
2020-0846,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,I,I,S,S,S,R,R,S,,,S,,S,S,,,,,,,,I
2020-0847,S,S,S,S,S,S,S,R,R,R,R,R,R,S,S,S,R,S,S,R,S,S,S,,,R,,S,S,,,,,,,,I
2020-0848,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,I,I,S,S,S,R,R,S,,,S,,S,S,,,,,,,,I
2020-0849,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,S,,,S,,S,S,,,,,,,,I
2020-0850,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,I,I,S,S,S,R,R,S,,,S,,S,S,,,,,,,,I
2020-0854,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,I,I,R,R,,,S,,S,S,,,,,,,,I
2020-0855,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0856,S,R,S,S,S,S,S,R,R,R,R,R,R,S,S,S,S,S,S,R,I,R,R,,,R,,S,S,,,,,,,,I
2020-0859,S,I,S,R,S,S,S,R,S,R,R,R,R,S,S,S,R,S,S,R,I,R,R,,,R,,S,S,,,,,,,,I
2020-0860,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2020-0863,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0869,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2020-0872,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0874,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2020-0875,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,I,I,R,S,,,S,,S,S,,,,,,,,I
2020-0876,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2020-0877,S,R,S,R,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0878,S,R,S,R,I,S,S,R,R,S,S,S,R,S,S,I,I,R,R,S,R,R,R,,,R,,I,I,,,,,,,,I
2020-0880,S,I,S,R,R,S,R,R,R,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2020-0881,S,S,S,S,S,S,S,S,I,S,S,S,R,S,S,I,I,S,S,S,I,R,R,,,S,,S,I,,,,,,,,I
2020-0882,I,S,S,S,S,S,S,R,R,R,R,R,R,S,S,S,S,S,S,R,S,S,S,,,I,,S,S,,,,,,,,I
2020-0887,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,R,S,R,R,S,,,S,,R,R,,,,,,,,I
2020-0889,S,I,S,R,I,I,S,R,R,R,R,R,R,S,S,R,R,S,S,R,S,R,R,,,I,,S,S,,,,,,,,I
2020-0892,I,R,R,R,S,R,R,R,R,S,S,S,R,S,S,S,S,R,R,S,R,R,S,,,I,,R,S,,,,,,,,I
2020-0895,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0900,S,I,S,R,S,I,S,R,R,R,R,R,R,S,S,R,S,S,S,R,S,R,R,,,R,,S,S,,,,,,,,I
2020-0903,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2020-0905,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0906,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0907,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0910,S,I,S,R,R,S,I,R,R,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2020-0911,S,I,S,R,R,S,I,R,R,S,S,S,R,S,S,R,R,S,S,S,I,R,R,,,R,,S,S,,,,,,,,I
2020-0912,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2020-0913,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0915,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2020-0922,S,I,S,R,R,S,I,R,R,S,S,S,R,S,S,S,S,R,R,S,S,R,R,,,R,,R,R,,,,,,,,I
2020-0925,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2020-0926,S,I,S,R,R,S,I,R,R,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2020-0929,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2020-0930,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0932,I,R,S,R,S,R,R,R,R,S,S,S,R,S,S,S,S,R,R,S,R,R,R,,,I,,R,R,,,,,,,,I
2020-0934,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2020-0947,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0954,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0959,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2020-0962,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,S,,,S,,S,S,,,,,,,,I
2020-0963,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,S,R,,,S,,S,S,,,,,,,,I
2020-0965,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0966,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2020-0968,R,R,S,R,S,R,S,S,R,S,S,S,R,S,S,S,R,S,S,S,I,S,R,,,S,,S,S,,,,,,,,I
2020-0969,S,I,S,R,R,S,R,R,R,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2020-0971,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0972,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0973,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2020-0976,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,I,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2020-0977,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,R,R,S,S,R,R,S,,,S,,S,S,,,,,,,,I
2020-0978,I,R,S,S,S,S,S,S,S,S,S,S,R,S,I,R,R,R,R,S,I,R,R,,,S,,R,R,,,,,,,,I
2020-0982,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,R,R,S,S,R,R,S,,,S,,R,S,,,,,,,,I
2020-0983,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,R,R,S,S,I,R,S,,,S,,S,S,,,,,,,,I
Salmonella_HUM01,,,,,,,S,,,,S,S,R,,,R,,S,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM02,,,,,,,R,,,,S,S,S,,,S,,S,,,,S,S,R,,,R,,,R,,,,,,,
Salmonella_HUM03,,,,,,,R,,,,R,R,R,,,R,,S,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM04,,,,,,,R,,,,S,S,R,,,R,,S,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_HUM05,,,,,,,R,,,,R,R,R,,,R,,S,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_HUM06,,,,,,,S,,,,S,S,R,,,S,,S,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM07,,,,,,,R,,,,S,S,R,,,R,,S,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_HUM08,,,,,,,R,,,,S,S,S,,,S,,S,,,,S,S,R,,,R,,,R,,,,,,,
Salmonella_HUM09,,,,,,,R,,,,S,S,S,,,S,,S,,,,S,S,R,,,R,,,R,,,,,,,
Salmonella_HUM10,,,,,,,R,,,,S,S,S,,,S,,S,,,,S,S,R,,,R,,,R,,,,,,,
Salmonella_HUM11,,,,,,,R,,,,S,S,S,,,S,,S,,,,S,S,R,,,R,,,R,,,,,,,
Salmonella_HUM12,,,,,,,S,,,,S,S,S,,,S,,S,,,,S,R,S,,,R,,,R,,,,,,,
Salmonella_HUM13,,,,,,,S,,,,S,S,R,,,S,,S,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM14,,,,,,,R,,,,S,S,S,,,S,,S,,,,S,S,S,,,R,,,R,,,,,,,
Salmonella_HUM15,,,,,,,R,,,,S,S,R,,,S,,S,,,,R,S,R,,,R,,,S,,,,,,,
Salmonella_HUM16,,,,,,,R,,,,S,S,R,,,S,,R,,,,R,S,S,,,R,,,S,,,,,,,
Salmonella_HUM17,,,,,,,R,,,,S,S,R,,,S,,R,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_HUM18,,,,,,,R,,,,S,S,R,,,S,,R,,,,R,S,R,,,R,,,S,,,,,,,
Salmonella_HUM19,,,,,,,R,,,,S,S,R,,,S,,S,,,,S,S,R,,,R,,,R,,,,,,,
Salmonella_HUM20,,,,,,,R,,,,S,S,R,,,S,,S,,,,R,S,R,,,R,,,S,,,,,,,
Salmonella_HUM21,,,,,,,R,,,,S,S,S,,,S,,S,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_HUM22,,,,,,,R,,,,S,S,R,,,S,,S,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_HUM23,,,,,,,R,,,,S,S,R,,,R,,S,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM24,,,,,,,R,,,,S,S,R,,,R,,R,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_HUM25,,,,,,,R,,,,S,S,R,,,S,,R,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_HUM26,,,,,,,R,,,,S,S,S,,,S,,R,,,,R,S,R,,,R,,,S,,,,,,,
Salmonella_HUM27,,,,,,,R,,,,S,S,R,,,S,,R,,,,R,S,R,,,R,,,S,,,,,,,
Salmonella_HUM28,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM30,,,,,,,S,,,,S,S,S,,,S,,I,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM31,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,R,S,,,R,,,S,,,,,,,
Salmonella_HUM33,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM39,,,,,,,S,,,,S,S,S,,,S,,I,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM40,,,,,,,S,,,,S,S,R,,,S,,R,,,,R,R,S,,,S,,,S,,,,,,,
Salmonella_HUM41,,,,,,,S,,,,S,S,R,,,R,,S,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM42,,,,,,,S,,,,S,S,R,,,S,,I,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM43,,,,,,,S,,,,S,S,R,,,S,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM44,,,,,,,S,,,,S,S,S,,,S,,I,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_HUM45,,,,,,,S,,,,S,S,R,,,S,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM46,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM48,,,,,,,R,,,,S,S,R,,,S,,R,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_HUM49,,,,,,,S,,,,S,S,I,,,S,,I,,,,R,R,S,,,R,,,S,,,,,,,
Salmonella_HUM51,,,,,,,R,,,,S,S,R,,,R,,R,,,,R,R,R,,,R,,,S,,,,,,,
Salmonella_HUM54,,,,,,,S,,,,S,S,S,,,S,,S,,,,R,R,S,,,R,,,S,,,,,,,
Salmonella_HUM55,,,,,,,S,,,,S,S,S,,,S,,I,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM58,,,,,,,S,,,,S,S,S,,,S,,I,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM59,,,,,,,R,,,,S,S,R,,,S,,I,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_HUM60,,,,,,,S,,,,S,S,S,,,S,,I,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM64,,,,,,,S,,,,S,S,S,,,S,,I,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM65,,,,,,,S,,,,S,S,R,,,S,,I,,,,R,R,S,,,R,,,S,,,,,,,
Salmonella_HUM66,,,,,,,S,,,,S,S,R,,,R,,S,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM67,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_HUM69,,,,,,,S,,,,S,S,R,,,I,,R,,,,R,S,S,,,R,,,S,,,,,,,
Salmonella_HUM70,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM71,,,,,,,S,,,,S,S,R,,,R,,S,,,,S,R,S,,,R,,,R,,,,,,,
Salmonella_HUM72,,,,,,,I,,,,S,S,S,,,S,,I,,,,S,S,R,,,R,,,R,,,,,,,
Salmonella_HUM73,,,,,,,I,,,,S,S,R,,,S,,I,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_HUM74,,,,,,,S,,,,S,S,R,,,S,,S,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM75,,,,,,,S,,,,S,S,R,,,R,,S,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM76,,,,,,,S,,,,S,S,R,,,S,,R,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM77,,,,,,,R,,,,S,S,S,,,S,,S,,,,S,S,S,,,R,,,R,,,,,,,
Salmonella_HUM78,,,,,,,R,,,,S,S,R,,,R,,S,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_HUM80,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM82,,,,,,,S,,,,S,S,R,,,S,,R,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM83,,,,,,,R,,,,S,S,R,,,R,,R,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM84,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM85,,,,,,,S,,,,S,S,R,,,S,,R,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_HUM86,,,,,,,R,,,,S,S,R,,,S,,R,,,,R,S,S,,,R,,,S,,,,,,,
Salmonella_CH01,,,,,,,R,,,,S,S,R,,,R,,R,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_CH03,,,,,,,S,,,,S,S,S,,,S,,R,,,,R,R,S,,,S,,,S,,,,,,,
Salmonella_CH04,,,,,,,S,,,,S,S,R,,,R,,R,,,,S,R,R,,,R,,,R,,,,,,,
Salmonella_CH05,,,,,,,S,,,,S,S,S,,,S,,R,,,,S,S,R,,,R,,,R,,,,,,,
Salmonella_CH06,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_CH07,,,,,,,I,,,,S,S,R,,,S,,R,,,,S,R,R,,,R,,,R,,,,,,,
Salmonella_CH08,,,,,,,R,,,,S,S,R,,,R,,R,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_CH09,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_CH12,,,,,,,S,,,,S,S,S,,,R,,S,,,,S,R,R,,,R,,,S,,,,,,,
Salmonella_CH13,,,,,,,R,,,,S,S,R,,,R,,I,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_CH14,,,,,,,S,,,,S,S,R,,,S,,S,,,,R,S,S,,,S,,,R,,,,,,,
Salmonella_CH15,,,,,,,S,,,,S,S,R,,,S,,S,,,,R,S,S,,,S,,,R,,,,,,,
Salmonella_CH17,,,,,,,S,,,,S,S,I,,,S,,I,,,,S,S,S,,,R,,,R,,,,,,,
Salmonella_CH19,,,,,,,S,,,,S,S,R,,,S,,S,,,,R,S,S,,,S,,,R,,,,,,,
Salmonella_CH20,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_CH21,,,,,,,R,,,,S,S,R,,,R,,R,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_CH22,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_CH23,,,,,,,R,,,,S,S,R,,,R,,R,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_CH24,,,,,,,S,,,,S,S,S,,,S,,R,,,,R,R,S,,,S,,,R,,,,,,,
Salmonella_CH28,,,,,,,R,,,,S,S,R,,,R,,I,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_CH30,,,,,,,S,,,,S,S,S,,,R,,R,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_CH31,,,,,,,S,,,,S,S,S,,,S,,I,,,,S,S,S,,,R,,,R,,,,,,,
Salmonella_CH33,,,,,,,S,,,,S,S,S,,,R,,R,,,,S,R,S,,,S,,,R,,,,,,,
Salmonella_CH35,,,,,,,S,,,,S,S,R,,,S,,I,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_CH36,,,,,,,R,,,,S,S,R,,,R,,R,,,,R,R,R,,,R,,,R,,,,,,,
Salmonella_CH38,,,,,,,S,,,,S,S,R,,,S,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_CH41,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,S,R,,,R,,,R,,,,,,,
Salmonella_CH42,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_CH44,,,,,,,S,,,,S,S,R,,,R,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_CH45,,,,,,,S,,,,S,I,S,,,S,,I,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_CH49,,,,,,,S,,,,S,S,R,,,S,,I,,,,R,R,S,,,R,,,S,,,,,,,
Salmonella_CH61,,,,,,,S,,,,S,S,R,,,S,,I,,,,R,R,S,,,S,,,R,,,,,,,
Salmonella_CH63,,,,,,,S,,,,S,S,R,,,S,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_CH64,,,,,,,S,,,,S,S,R,,,S,,I,,,,R,R,S,,,R,,,S,,,,,,,
Salmonella_CH65,,,,,,,S,,,,S,S,R,,,S,,R,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_CH68,,,,,,,S,,,,S,S,S,,,S,,I,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_CH70,,,,,,,I,,,,S,S,S,,,S,,I,,,,S,S,R,,,R,,,R,,,,,,,
Salmonella_CH75,,,,,,,S,,,,S,S,S,,,S,,I,,,,R,S,S,,,R,,,R,,,,,,,
Salmonella_CH77,,,,,,,S,,,,S,S,S,,,S,,I,,,,S,S,S,,,R,,,R,,,,,,,
Salmonella_CH81,,,,,,,S,,,,S,S,S,,,S,,I,,,,S,S,S,,,R,,,R,,,,,,,
Salmonella_CH82,,,,,,,S,,,,S,S,R,,,R,,R,,,,S,R,S,,,R,,,R,,,,,,,
Salmonella_CH83,,,,,,,S,,,,S,S,R,,,R,,S,,,,S,R,S,,,R,,,S,,,,,,,
Salmonella_CH84,,,,,,,R,,,,S,S,R,,,R,,R,,,,S,R,S,,,R,,,R,,,,,,,
Salmonella_CH85,,,,,,,R,,,,S,S,R,,,R,,R,,,,R,R,S,,,R,,,R,,,,,,,
Salmonella_CH86,,,,,,,R,,,,S,S,R,,,S,,R,,,,R,R,S,,,R,,,S,,,,,,,
Salmonella_CH87,,,,,,,R,,,,S,S,R,,,S,,R,,,,R,R,S,,,R,,,S,,,,,,,
Salmonella_CH88,,,,,,,S,,,,S,S,S,,,R,,R,,,,R,R,S,,,R,,,R,,,,,,,
HA1S10,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S11,S,R,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,I,R,,R,R,R,
HA1S12,S,R,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,I,R,,R,R,R,
HA1S13,S,I,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,S,R,,R,R,R,
HA1S14,R,R,,R,R,R,R,,,,I,I,R,,R,R,,R,R,,S,S,R,R,,R,R,,,,R,R,,R,S,R,
HA1S15,S,I,,R,R,S,R,,,,S,S,R,,S,I,,R,R,,S,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S16,S,I,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,S,R,,R,R,R,
HA1S17,I,I,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,I,R,,R,R,R,
HA1S18,S,R,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S19,S,I,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,I,R,,R,R,R,
HA1S20,S,I,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,S,R,,R,R,R,
HA1S21,I,I,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,I,R,,R,R,R,
HA1S22,I,I,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,S,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S23,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S24,S,R,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,I,R,,R,R,R,
HA1S25,S,I,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,I,R,,R,R,R,
HA1S26,S,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,S,R,,R,R,,,,R,R,,R,R,R,
HA1S27,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,S,R,,R,R,,,,R,R,,R,R,R,
HA1S29,R,R,,R,R,R,R,,,,S,I,R,,R,R,,R,R,,S,S,R,R,,R,R,,,,R,R,,R,S,R,
HA1S30,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S31,R,R,,R,R,R,R,,,,S,I,R,,R,R,,R,R,,S,S,R,R,,R,R,,,,R,R,,R,S,R,
HA1S32,R,R,,R,R,R,R,,,,S,S,R,,R,R,,R,R,,S,S,R,R,,R,R,,,,R,R,,R,S,R,
HA1S33,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S34,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,I,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S35,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S36,S,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,I,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S37,S,I,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,I,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S38,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,I,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S39,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S3,R,R,,R,R,R,R,,,,R,R,R,,R,R,,R,R,,S,S,R,R,,R,R,,,,R,R,,R,S,R,
HA1S40,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,S,S,R,R,,R,R,,,,R,R,,R,S,R,
HA1S41,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S42,R,R,,R,R,R,R,,,,I,I,R,,R,R,,R,R,,S,S,R,R,,R,R,,,,R,R,,R,S,R,
HA1S44,R,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S45,S,I,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,I,R,,R,R,R,
HA1S46,S,R,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,I,R,,R,R,R,
HA1S49,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S4,S,I,,R,R,S,R,,,,S,S,R,,S,S,,R,R,,I,R,R,R,,R,R,,,,I,R,,R,R,R,
HA1S50,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,S,R,,R,R,,,,R,R,,R,R,R,
HA1S53,S,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,S,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S54,I,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S55,S,I,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,S,R,R,R,,R,R,,,,R,R,,R,R,R,
HA1S56,S,R,,R,R,S,R,,,,S,S,R,,S,R,,R,R,,R,R,R,R,,R,R,,,,R,R,,R,R,R,
